URL, Title, Description, Price, Date, Keywords, Author, Logo, Links Count, Images Count, Headings Count, Success, Error
http://google.com, Google, , , , , , , 18, 2, 0, true, 
http://netflix.com, "Netflix Türkiye - Watch TV Shows Online, Watch Movies Online", , ",", 2018-11-26, , , , 16, 1, 10, true, 
http://youtube.com, YouTube, "Sevdiğiniz videoların ve müziklerin keyfini çıkarın, orijinal içerik yükleyin ve tümünü YouTube&#39;da arkadaşlarınızla, ailenizle ve dünyayla paylaşın.", , , "video, paylaşım, kameralı telefon, videofon, ücretsiz, yükleme", , , 13, 0, 0, true, 
